Time,P_load3,P_load4,const_0V,delta1,delta2,delta3,delta4,factor1,factor2,factor3,factor4,sigma1,sigma2,sigma3,sigma4
0.0244,93.30893,86.41803,0.0,393.76956,8.073632,209.8704,63.851254,95.84945,223.04004,0.0,213.90343,297.9201,231.11368,209.8704,277.75467
0.0246,77.6607,70.98894,0.0,356.02887,29.24915,187.17693,25.623991,98.26491,172.07996,0.0,219.05626,257.76398,201.3291,187.17693,244.68025
0.0248,63.772614,57.340286,0.0,316.65414,50.07326,163.80504,12.68786,100.252975,120.624535,0.0,197.87332,216.40117,170.6978,163.80504,210.56119
0.025,51.614964,45.450935,0.0,275.98517,70.57449,139.83,50.843525,101.80657,68.840096,0.0,124.78137,174.17859,139.4146,139.83,175.6249
0.0252,41.127018,35.267044,0.0,234.32167,90.73092,115.33369,88.589294,102.90779,16.935015,0.0,51.49558,131.41388,107.66594,115.33369,140.08487
0.0254,32.2218,26.705248,0.0,169.61809,101.250015,89.64681,137.43948,64.13119,0.0,42.05524,0.0,105.48691,101.250015,131.70206,137.43948
0.0256,24.79328,19.656729,0.0,70.256546,105.43267,55.769466,204.38264,75.67382,0.0,106.642365,0.0,145.93037,105.43267,162.41183,204.38264
0.0258,18.73481,14.025678,0.0,43.010128,119.78477,7.3455205,277.3491,152.2899,0.0,193.12384,0.0,195.30003,119.78477,200.46936,277.3491
0.026,13.9449215,9.815898,0.0,159.38054,138.4244,57.372093,329.9125,80.44266,5.866549,172.53384,0.0,239.82321,144.29094,229.90594,329.9125
0.0262,10.302084,6.770183,0.0,278.32913,136.44713,114.9834,366.1244,58.65436,78.546524,125.43506,0.0,336.9835,214.99365,240.41846,366.1244
0.0264,7.6202173,4.623614,0.0,384.85007,128.91231,166.2401,389.58853,35.80353,147.41026,76.009056,0.0,420.6536,276.32257,242.24915,389.58853
0.0266,5.6781673,3.1567786,0.0,471.77502,132.89494,220.63742,400.58652,11.714411,196.84047,23.880148,0.0,483.48944,329.7354,244.51758,400.58652
0.0268,4.329691,2.1907501,0.0,542.7393,141.02518,270.7005,406.2237,10.263038,233.91264,0.0,21.393984,532.4763,374.9378,270.7005,427.61768
0.027,3.4524868,1.587011,0.0,605.1129,142.04698,309.06662,411.85504,28.242544,270.51407,0.0,61.03675,576.87036,412.56107,309.06662,472.89178
0.0272,2.940949,1.2453988,0.0,661.5988,136.41208,337.77954,417.71326,43.083733,307.9689,0.0,93.83594,618.5151,444.38095,337.77954,511.54922
0.0274,2.719995,1.1012216,0.0,711.41144,130.83055,362.94687,421.92432,56.485844,341.364,0.0,123.496506,654.9256,472.19455,362.94687,545.42084
0.0276,2.7536435,1.1241444,0.0,754.9881,127.7527,387.2881,423.81976,69.30834,369.34683,0.0,151.88966,685.67975,497.09955,387.2881,575.7094
0.0278,3.0443947,1.3181514,0.0,794.57184,124.38452,409.5935,424.0957,81.52997,395.1232,0.0,178.96613,713.0419,519.50775,409.5935,603.0618
0.028,3.628621,1.7210759,0.0,831.6172,118.262634,428.4793,423.28925,92.991806,421.2014,0.0,204.377,738.62537,539.46405,428.4793,627.6662
0.0282,4.5724993,2.4030535,0.0,865.597,109.99698,444.24384,421.14273,103.739105,446.86145,0.0,228.21886,761.85785,556.85846,444.24384,649.3616
0.0284,5.969496,3.4639118,0.0,895.28534,101.20948,457.7073,417.1501,113.86317,470.29346,0.0,250.68866,781.4222,571.5029,457.7073,667.83875
0.0286,7.937953,5.029706,0.0,920.19336,92.18903,468.92398,411.06644,123.365486,491.0138,0.0,271.78757,796.8279,583.2028,468.92398,682.854
0.0288,10.616856,7.248621,0.0,940.5722,82.134926,477.4421,402.8007,132.24858,509.70554,0.0,291.5191,808.3236,591.84045,477.4421,694.3198
0.029,14.159653,10.286299,0.0,956.6641,70.57061,483.14008,392.13547,140.62358,526.83136,0.0,310.12378,816.0406,597.402,483.14008,702.2592
0.0292,18.727848,14.320433,0.0,968.3926,57.760376,486.35678,378.75275,148.65993,542.1704,0.0,327.96915,819.73267,599.9308,486.35678,706.72186
0.0294,24.485573,19.534607,0.0,975.6191,44.07693,487.42285,362.45877,156.46548,555.39465,0.0,345.28778,819.1536,599.4716,487.42285,707.7465
0.0296,31.594498,26.11171,0.0,978.387,29.536087,486.36804,343.2806,164.0452,566.5197,0.0,362.08844,814.3418,596.05585,486.36804,705.3691
0.0298,40.207893,34.227383,0.0,976.85034,13.963976,483.07278,321.37302,171.35054,575.75555,0.0,378.26456,805.4998,589.71954,483.07278,699.6376
0.03,50.463814,44.043716,0.0,965.4909,0.22119544,477.45453,293.9231,178.30841,577.8101,0.0,393.65115,787.1825,578.0313,477.45453,687.5742
0.0302,62.47478,55.490013,0.0,913.68536,2.8620312,459.1778,258.296,177.62743,543.12006,0.0,392.165,736.0579,545.9821,459.1778,650.461
0.0304,76.257164,68.290306,0.0,833.52026,7.267873,416.4969,230.76245,163.34839,489.02716,0.0,360.97604,670.1719,496.29504,416.4969,591.7385
0.0306,91.6418,82.357605,0.0,741.08105,18.681261,358.52158,205.81157,142.62373,418.1688,0.0,315.71637,598.45734,436.85007,358.52158,521.52795
0.0308,108.31806,97.68871,0.0,650.1627,33.11778,302.28732,174.73135,124.85861,344.17853,0.0,276.91348,525.30414,377.2963,302.28732,451.64487
0.031,125.96025,114.24573,0.0,566.4376,45.133797,258.20334,133.56946,114.719444,277.76294,0.0,254.72107,451.71814,322.89673,258.20334,388.29053
0.0312,144.32394,131.89676,0.0,491.2801,55.104942,225.39496,85.15121,111.268295,219.25954,0.0,247.07892,380.0118,274.36447,225.39496,332.2301
0.0314,163.24529,150.42218,0.0,423.4938,66.35672,197.29167,35.16368,110.85997,163.50153,0.0,246.03383,312.63382,229.85825,197.29167,281.1975
0.0316,182.57909,169.55122,0.0,359.84003,79.79711,168.64505,11.942963,110.13528,107.32168,0.0,220.37686,249.70476,187.11879,168.64505,232.31982
0.0318,202.14658,189.00058,0.0,296.8486,93.561584,137.76735,54.355007,107.357376,51.124535,0.0,129.27536,189.49123,144.68613,137.76735,183.63037
0.032,221.72185,208.4973,0.0,232.96013,106.04272,105.02814,92.17162,102.301476,0.0,9.564722,42.37701,130.65866,106.04272,114.592865,134.54863
0.0322,241.04214,227.78423,0.0,168.89381,117.383385,71.28265,126.34528,60.46355,0.0,62.75232,0.0,108.43027,117.383385,134.03497,126.34528
0.0324,259.82358,246.61493,0.0,106.25577,128.37411,37.549625,158.05464,26.89549,0.0,114.56114,0.0,133.15126,128.37411,152.11076,158.05464
0.0326,277.77792,264.74603,0.0,46.150364,139.16524,4.9535174,188.30824,110.76213,0.0,164.53653,0.0,156.91249,139.16524,169.49004,188.30824
0.0328,294.63055,281.93237,0.0,11.132031,149.33813,25.708694,217.59459,168.59077,0.0,160.53456,0.0,179.72281,149.33813,186.24326,217.59459
0.033,310.1332,297.92883,0.0,65.72006,158.60829,54.337097,245.82295,135.68195,0.0,147.83427,0.0,201.40201,158.60829,202.17137,245.82295
0.0332,324.0672,312.49716,0.0,117.78236,167.04778,81.34449,272.53986,103.99848,0.0,135.71864,0.0,221.78084,167.04778,217.06314,272.53986
0.0334,336.23935,325.4158,0.0,167.45868,174.76103,107.1565,297.2878,73.24357,0.0,123.56638,0.0,240.70226,174.76103,230.72289,297.2878
0.0336,346.47906,336.48822,0.0,214.83662,181.65579,131.90791,319.7803,51.456436,9.691767,111.03962,0.0,266.29306,191.34755,242.94753,319.7803
0.0338,354.6401,345.54852,0.0,259.89362,187.54376,155.49597,339.89487,45.36471,32.68754,98.08784,0.0,305.25833,220.2313,253.5838,339.89487
0.034,360.60504,352.46432,0.0,302.46158,192.3248,177.74913,357.5879,39.124504,54.914925,84.81479,0.0,341.5861,247.23973,262.56393,357.5879
0.0342,364.2899,357.13773,0.0,341.06415,196.51668,198.50398,372.18057,32.812283,75.16208,71.383545,0.0,373.87643,271.67877,269.88754,372.18057
0.0344,365.6476,359.5063,0.0,368.62216,202.29097,216.81593,379.9698,26.675589,87.72922,58.337185,0.0,395.29776,290.02017,275.1531,379.9698
0.0346,364.682,359.6895,0.0,387.9393,206.09877,229.15767,385.5866,22.54769,96.634415,49.66204,0.0,410.487,302.7332,278.8197,385.5866
0.0348,361.4846,357.8308,0.0,403.42703,205.90596,235.1175,392.17972,20.79864,105.89206,46.156033,0.0,424.22568,311.79803,281.27353,392.17972
0.035,356.22992,353.91946,0.0,421.47272,194.64632,234.72859,396.46417,18.834215,124.03176,42.151737,0.0,440.30695,318.67807,276.8803,396.46417
